user_id,age,gender,signup_method,signup_flow,affiliate_channel,first_device_type,country_destination
USER_00046,28.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00047,45.0,MALE,facebook,0,other,Android Phone,NDF
USER_00048,37.0,UNKNOWN,basic,0,sem-brand,Windows Desktop,NDF
USER_00049,,FEMALE,google,0,sem-non-brand,Windows Desktop,other
USER_00050,,FEMALE,basic,0,direct,iPhone,US
USER_00051,29.0,FEMALE,basic,0,sem-brand,Windows Desktop,ES
USER_00052,26.0,MALE,google,0,direct,Mac Desktop,NDF
USER_00053,40.0,FEMALE,basic,0,direct,iPhone,NDF
USER_00054,45.0,FEMALE,basic,0,direct,Mac Desktop,FR
USER_00055,44.0,FEMALE,basic,3,other,Windows Desktop,US
USER_00056,,MALE,basic,0,direct,Mac Desktop,NDF
USER_00057,30.0,OTHER,facebook,25,direct,Android Phone,ES
USER_00058,37.0,MALE,basic,3,other,Windows Desktop,other
USER_00059,44.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00060,,MALE,facebook,0,sem-non-brand,Mac Desktop,NDF
USER_00061,31.0,FEMALE,basic,0,direct,Android Phone,NDF
USER_00062,21.0,MALE,basic,0,direct,Mac Desktop,US
USER_00063,20.0,FEMALE,basic,0,direct,Android Phone,NDF
USER_00064,,MALE,facebook,0,direct,Windows Desktop,NDF
USER_00065,48.0,FEMALE,basic,3,direct,Windows Desktop,NDF
USER_00066,33.0,MALE,facebook,25,direct,iPhone,NDF
USER_00067,45.0,UNKNOWN,basic,0,sem-brand,Mac Desktop,NDF
USER_00068,37.0,UNKNOWN,basic,25,direct,Windows Desktop,US
USER_00069,26.0,FEMALE,facebook,0,direct,Mac Desktop,US
USER_00070,,UNKNOWN,basic,3,sem-brand,Mac Desktop,NDF
USER_00071,50.0,MALE,basic,0,sem-brand,iPhone,other
USER_00072,33.0,UNKNOWN,google,0,direct,Android Phone,IT
USER_00073,51.0,MALE,basic,0,direct,Android Phone,NDF
USER_00074,15.0,FEMALE,facebook,0,sem-brand,iPhone,US
USER_00075,,MALE,basic,0,direct,Android Phone,NDF
USER_00076,34.0,UNKNOWN,basic,25,direct,Android Phone,IT
USER_00077,30.0,FEMALE,basic,0,other,Mac Desktop,US
USER_00078,35.0,FEMALE,google,0,sem-brand,Mac Desktop,NDF
USER_00079,22.0,UNKNOWN,basic,0,direct,Mac Desktop,NDF
USER_00080,31.0,FEMALE,basic,0,direct,Mac Desktop,DE
USER_00081,37.0,FEMALE,basic,0,direct,iPhone,NDF
USER_00082,50.0,MALE,facebook,25,direct,Android Phone,NDF
USER_00083,28.0,UNKNOWN,google,0,sem-non-brand,Windows Desktop,NDF
USER_00084,25.0,UNKNOWN,facebook,0,direct,Mac Desktop,NDF
USER_00085,28.0,UNKNOWN,facebook,0,direct,Windows Desktop,US
USER_00086,44.0,MALE,basic,0,direct,iPhone,ES
USER_00087,37.0,MALE,facebook,0,direct,Android Phone,NDF
USER_00088,28.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00089,39.0,MALE,facebook,0,direct,Windows Desktop,NDF
USER_00090,35.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00091,44.0,FEMALE,basic,0,sem-non-brand,Mac Desktop,FR
USER_00092,-5.0,OTHER,basic,0,sem-brand,iPhone,NDF
USER_00093,30.0,UNKNOWN,facebook,3,direct,Windows Desktop,ES
USER_00094,29.0,MALE,facebook,0,sem-brand,Android Phone,NDF
USER_00095,27.0,MALE,basic,0,other,Android Phone,US
USER_00096,37.0,MALE,basic,0,direct,Windows Desktop,other
USER_00097,36.0,MALE,google,0,other,Windows Desktop,IT
USER_00098,34.0,FEMALE,basic,0,direct,Mac Desktop,NDF
USER_00099,31.0,MALE,basic,0,other,Mac Desktop,NDF
USER_00100,18.0,UNKNOWN,google,0,sem-non-brand,iPhone,NDF
USER_00101,29.0,FEMALE,facebook,0,direct,Windows Desktop,NDF
USER_00102,30.0,FEMALE,basic,0,direct,Windows Desktop,US
USER_00103,25.0,FEMALE,basic,0,sem-brand,iPhone,US
USER_00104,2014.0,FEMALE,basic,12,direct,Windows Desktop,NDF
USER_00105,38.0,FEMALE,basic,0,direct,iPhone,NDF
USER_00106,54.0,UNKNOWN,basic,0,direct,Mac Desktop,NDF
USER_00107,35.0,FEMALE,facebook,0,direct,Windows Desktop,NDF
USER_00108,,UNKNOWN,basic,0,direct,Mac Desktop,other
USER_00109,33.0,MALE,basic,0,direct,iPhone,US
USER_00110,22.0,MALE,basic,0,direct,Windows Desktop,US
USER_00111,33.0,OTHER,basic,0,direct,Windows Desktop,other
USER_00112,34.0,MALE,basic,0,sem-brand,Windows Desktop,NDF
USER_00113,61.0,FEMALE,facebook,0,direct,Android Phone,NDF
USER_00114,31.0,FEMALE,basic,0,direct,Windows Desktop,IT
USER_00115,37.0,MALE,facebook,0,direct,Mac Desktop,NDF
USER_00116,33.0,FEMALE,basic,0,direct,iPhone,GB
USER_00117,21.0,UNKNOWN,basic,0,sem-brand,Android Phone,NDF
USER_00118,46.0,UNKNOWN,basic,0,direct,Mac Desktop,other
USER_00119,42.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00120,42.0,FEMALE,basic,0,sem-non-brand,Windows Desktop,IT
USER_00121,23.0,UNKNOWN,basic,0,sem-brand,Windows Desktop,NDF
USER_00122,49.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00123,18.0,MALE,basic,0,direct,Mac Desktop,other
USER_00124,40.0,MALE,basic,0,direct,Windows Desktop,other
USER_00125,58.0,FEMALE,basic,0,direct,Android Phone,NDF
USER_00126,23.0,MALE,basic,3,sem-non-brand,Mac Desktop,NDF
USER_00127,27.0,MALE,basic,0,sem-non-brand,Windows Desktop,NDF
USER_00128,35.0,UNKNOWN,basic,0,sem-brand,iPhone,ES
USER_00129,,FEMALE,basic,3,sem-non-brand,Mac Desktop,IT
USER_00130,26.0,UNKNOWN,basic,0,sem-brand,iPhone,NDF
USER_00131,34.0,FEMALE,facebook,0,sem-non-brand,Mac Desktop,NDF
USER_00132,22.0,FEMALE,basic,0,sem-non-brand,Mac Desktop,US
USER_00133,39.0,MALE,basic,3,sem-non-brand,Windows Desktop,US
USER_00134,23.0,UNKNOWN,facebook,0,sem-non-brand,iPhone,NDF
USER_00135,51.0,MALE,basic,0,direct,Mac Desktop,NDF
USER_00136,25.0,FEMALE,basic,0,sem-brand,Mac Desktop,NDF
USER_00137,30.0,MALE,google,0,direct,Windows Desktop,other
USER_00138,42.0,MALE,basic,0,sem-non-brand,Mac Desktop,FR
USER_00139,20.0,MALE,basic,12,sem-non-brand,Mac Desktop,NDF
USER_00140,36.0,FEMALE,facebook,0,direct,iPhone,IT
USER_00141,48.0,UNKNOWN,basic,0,direct,Windows Desktop,other
USER_00142,26.0,FEMALE,basic,12,direct,Android Phone,NDF
USER_00143,36.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00144,,UNKNOWN,facebook,0,direct,Mac Desktop,NDF
USER_00145,42.0,FEMALE,basic,0,sem-brand,Windows Desktop,NDF
USER_00146,20.0,UNKNOWN,facebook,0,direct,Android Phone,NDF
USER_00147,19.0,FEMALE,basic,0,direct,Windows Desktop,ES
USER_00148,39.0,UNKNOWN,basic,0,direct,Mac Desktop,US
USER_00149,,FEMALE,basic,0,direct,Android Phone,NDF
USER_00150,36.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00151,37.0,MALE,facebook,0,direct,Mac Desktop,FR
USER_00152,26.0,MALE,basic,0,sem-brand,Android Phone,NDF
USER_00153,36.0,MALE,basic,3,direct,Mac Desktop,FR
USER_00154,37.0,OTHER,basic,0,sem-brand,iPhone,US
USER_00155,,FEMALE,facebook,0,sem-non-brand,Windows Desktop,ES
USER_00156,,UNKNOWN,basic,0,direct,Windows Desktop,other
USER_00157,39.0,FEMALE,basic,0,direct,Windows Desktop,other
USER_00158,20.0,FEMALE,facebook,0,direct,Mac Desktop,other
USER_00159,41.0,MALE,basic,0,other,Mac Desktop,US
USER_00160,23.0,FEMALE,basic,0,sem-brand,Windows Desktop,NDF
USER_00161,,FEMALE,facebook,0,direct,Mac Desktop,other
USER_00162,46.0,OTHER,basic,0,direct,Mac Desktop,US
USER_00163,24.0,FEMALE,facebook,3,direct,Windows Desktop,NDF
USER_00164,44.0,FEMALE,basic,0,direct,Windows Desktop,ES
USER_00165,38.0,MALE,basic,0,sem-brand,Mac Desktop,NDF
USER_00166,43.0,FEMALE,basic,0,sem-brand,Windows Desktop,NDF
USER_00167,54.0,OTHER,basic,0,other,Mac Desktop,other
USER_00168,31.0,FEMALE,basic,0,direct,Android Phone,US
USER_00169,,MALE,basic,3,sem-brand,Mac Desktop,US
USER_00170,24.0,MALE,basic,0,direct,iPhone,US
USER_00171,2014.0,FEMALE,basic,0,direct,Mac Desktop,NDF
USER_00172,33.0,FEMALE,basic,0,direct,Windows Desktop,other
USER_00173,37.0,MALE,basic,0,sem-non-brand,Android Phone,ES
USER_00174,37.0,OTHER,basic,0,sem-brand,iPhone,US
USER_00175,43.0,MALE,basic,0,direct,iPhone,other
USER_00176,34.0,MALE,facebook,0,other,iPhone,GB
USER_00177,49.0,FEMALE,basic,0,sem-non-brand,iPhone,US
USER_00178,31.0,FEMALE,google,0,direct,iPhone,other
USER_00179,63.0,OTHER,basic,0,sem-non-brand,iPhone,NDF
USER_00180,40.0,MALE,basic,3,other,Windows Desktop,NDF
USER_00181,24.0,MALE,basic,0,sem-non-brand,Windows Desktop,NDF
USER_00182,22.0,MALE,basic,25,direct,Windows Desktop,NDF
USER_00183,39.0,MALE,google,0,direct,Mac Desktop,NDF
USER_00184,31.0,OTHER,basic,0,direct,Windows Desktop,NDF
USER_00185,41.0,MALE,basic,0,direct,Mac Desktop,DE
USER_00186,39.0,UNKNOWN,basic,0,other,Windows Desktop,US
USER_00187,33.0,FEMALE,facebook,25,sem-brand,Mac Desktop,US
USER_00188,24.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00189,27.0,UNKNOWN,basic,0,direct,Windows Desktop,ES
USER_00190,29.0,MALE,facebook,0,direct,Mac Desktop,IT
USER_00191,,MALE,google,0,direct,Windows Desktop,NDF
USER_00192,-5.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00193,20.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00194,35.0,UNKNOWN,basic,0,direct,Windows Desktop,NDF
USER_00195,38.0,UNKNOWN,basic,0,other,Windows Desktop,NDF
USER_00196,24.0,UNKNOWN,basic,0,direct,Mac Desktop,NDF
USER_00197,35.0,UNKNOWN,facebook,0,direct,Android Phone,US
USER_00198,,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00199,21.0,FEMALE,facebook,0,direct,Windows Desktop,IT
USER_00200,37.0,MALE,basic,12,sem-brand,Mac Desktop,DE
USER_00201,40.0,FEMALE,facebook,12,direct,Windows Desktop,GB
USER_00202,45.0,MALE,basic,0,sem-non-brand,Android Phone,NDF
USER_00203,45.0,OTHER,google,0,direct,Mac Desktop,NDF
USER_00204,18.0,UNKNOWN,basic,0,direct,Windows Desktop,IT
USER_00205,23.0,MALE,basic,0,direct,Mac Desktop,ES
USER_00206,39.0,MALE,basic,0,direct,iPhone,NDF
USER_00207,39.0,FEMALE,google,0,direct,Windows Desktop,NDF
USER_00208,39.0,FEMALE,basic,0,direct,iPhone,other
USER_00209,76.0,FEMALE,facebook,0,direct,iPhone,US
USER_00210,40.0,FEMALE,basic,0,direct,iPhone,IT
USER_00211,46.0,OTHER,facebook,3,direct,Mac Desktop,ES
USER_00212,44.0,MALE,google,0,direct,Mac Desktop,NDF
USER_00213,41.0,FEMALE,basic,0,sem-brand,Mac Desktop,NDF
USER_00214,30.0,FEMALE,basic,0,direct,Windows Desktop,US
USER_00215,42.0,MALE,basic,0,sem-brand,iPhone,NDF
USER_00216,-5.0,FEMALE,basic,0,direct,iPhone,NDF
USER_00217,31.0,UNKNOWN,basic,0,sem-brand,Mac Desktop,FR
USER_00218,28.0,UNKNOWN,basic,0,direct,Mac Desktop,IT
USER_00219,34.0,FEMALE,basic,0,sem-brand,Android Phone,IT
USER_00220,59.0,UNKNOWN,basic,0,direct,Windows Desktop,other
USER_00221,,MALE,basic,0,direct,iPhone,US
USER_00222,41.0,UNKNOWN,basic,0,direct,Mac Desktop,FR
USER_00223,26.0,MALE,basic,0,sem-brand,Windows Desktop,ES
USER_00224,28.0,FEMALE,facebook,0,direct,Mac Desktop,NDF
USER_00225,45.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00226,34.0,OTHER,basic,0,direct,Windows Desktop,ES
USER_00227,22.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00228,26.0,MALE,basic,0,sem-non-brand,Android Phone,NDF
USER_00229,41.0,FEMALE,basic,0,other,iPhone,NDF
USER_00230,25.0,MALE,basic,0,sem-non-brand,Android Phone,US
USER_00231,36.0,MALE,basic,0,other,Mac Desktop,US
USER_00232,34.0,FEMALE,basic,0,sem-non-brand,Windows Desktop,other
USER_00233,26.0,MALE,basic,0,sem-non-brand,Windows Desktop,US
USER_00234,57.0,MALE,basic,25,direct,Mac Desktop,ES
USER_00235,40.0,MALE,facebook,0,direct,iPhone,NDF
USER_00236,21.0,MALE,basic,0,sem-non-brand,Mac Desktop,NDF
USER_00237,36.0,FEMALE,basic,25,direct,iPhone,NDF
USER_00238,,FEMALE,basic,0,other,Mac Desktop,US
USER_00239,43.0,FEMALE,facebook,3,sem-non-brand,Windows Desktop,GB
USER_00240,25.0,MALE,basic,0,sem-non-brand,Windows Desktop,NDF
USER_00241,32.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00242,39.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00243,43.0,MALE,google,12,sem-brand,Windows Desktop,GB
USER_00244,20.0,MALE,basic,0,direct,Windows Desktop,GB
USER_00245,30.0,MALE,basic,0,other,Mac Desktop,FR
USER_00246,28.0,MALE,basic,25,sem-non-brand,Android Phone,NDF
USER_00247,26.0,MALE,basic,0,other,Android Phone,US
USER_00248,53.0,MALE,basic,0,direct,Mac Desktop,GB
USER_00249,38.0,FEMALE,basic,0,direct,iPhone,NDF
USER_00250,20.0,FEMALE,facebook,0,sem-non-brand,iPhone,NDF
USER_00251,,UNKNOWN,basic,3,direct,iPhone,NDF
USER_00252,,FEMALE,google,0,other,Mac Desktop,NDF
USER_00253,45.0,FEMALE,basic,0,direct,Windows Desktop,GB
USER_00254,27.0,MALE,basic,0,direct,Mac Desktop,other
USER_00255,28.0,MALE,basic,3,sem-non-brand,Windows Desktop,NDF
USER_00256,47.0,FEMALE,basic,0,direct,Windows Desktop,GB
USER_00257,26.0,FEMALE,google,0,direct,Android Phone,NDF
USER_00258,38.0,FEMALE,basic,0,direct,iPhone,US
USER_00259,42.0,OTHER,facebook,3,direct,Windows Desktop,NDF
USER_00260,23.0,MALE,basic,0,direct,Mac Desktop,NDF
USER_00261,33.0,MALE,basic,3,sem-brand,Windows Desktop,US
USER_00262,9.0,FEMALE,basic,0,sem-brand,Mac Desktop,NDF
USER_00263,22.0,FEMALE,facebook,0,direct,Windows Desktop,IT
USER_00264,31.0,MALE,basic,0,sem-brand,Windows Desktop,IT
USER_00265,20.0,FEMALE,google,0,direct,Windows Desktop,NDF
USER_00266,51.0,MALE,facebook,0,direct,Mac Desktop,NDF
USER_00267,18.0,FEMALE,basic,0,sem-brand,Android Phone,NDF
USER_00268,,MALE,google,0,sem-brand,Windows Desktop,GB
USER_00269,35.0,FEMALE,basic,0,sem-non-brand,Windows Desktop,other
USER_00270,49.0,FEMALE,google,12,sem-brand,iPhone,ES
USER_00271,18.0,UNKNOWN,facebook,3,sem-brand,Mac Desktop,NDF
USER_00272,46.0,UNKNOWN,basic,0,direct,Mac Desktop,ES
USER_00273,,FEMALE,basic,0,direct,Windows Desktop,US
USER_00274,23.0,FEMALE,facebook,0,direct,Windows Desktop,US
USER_00275,39.0,FEMALE,basic,0,sem-non-brand,Windows Desktop,NDF
USER_00276,36.0,MALE,basic,0,sem-brand,iPhone,NDF
USER_00277,,MALE,basic,0,sem-brand,Windows Desktop,other
USER_00278,34.0,MALE,basic,0,direct,Mac Desktop,DE
USER_00279,29.0,FEMALE,google,0,other,Windows Desktop,NDF
USER_00280,,FEMALE,basic,0,direct,Android Phone,IT
USER_00281,41.0,MALE,google,0,sem-non-brand,iPhone,NDF
USER_00282,51.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00283,20.0,FEMALE,basic,0,direct,Mac Desktop,US
USER_00284,57.0,FEMALE,basic,0,direct,iPhone,US
USER_00285,22.0,FEMALE,google,0,sem-brand,Mac Desktop,US
USER_00286,32.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00287,40.0,MALE,basic,0,direct,Windows Desktop,other
USER_00288,,OTHER,facebook,0,direct,Windows Desktop,US
USER_00289,27.0,MALE,facebook,0,sem-brand,Windows Desktop,US
USER_00290,31.0,FEMALE,facebook,0,direct,iPhone,NDF
USER_00291,28.0,FEMALE,google,0,direct,Mac Desktop,NDF
USER_00292,27.0,UNKNOWN,google,0,direct,Windows Desktop,other
USER_00293,43.0,FEMALE,facebook,0,sem-non-brand,Android Phone,US
USER_00294,37.0,FEMALE,basic,0,sem-brand,iPhone,NDF
USER_00295,26.0,MALE,basic,0,sem-non-brand,Mac Desktop,US
USER_00296,43.0,UNKNOWN,basic,0,direct,Windows Desktop,NDF
USER_00297,37.0,FEMALE,facebook,3,sem-non-brand,Mac Desktop,US
USER_00298,42.0,MALE,basic,0,other,Windows Desktop,other
USER_00299,40.0,FEMALE,facebook,0,direct,Mac Desktop,FR
USER_00300,24.0,MALE,basic,0,direct,Windows Desktop,US
USER_00301,,MALE,google,0,sem-brand,Windows Desktop,NDF
USER_00302,42.0,FEMALE,basic,12,direct,Windows Desktop,NDF
USER_00303,40.0,FEMALE,facebook,3,sem-brand,Windows Desktop,NDF
USER_00304,-5.0,FEMALE,basic,0,direct,Android Phone,US
USER_00305,35.0,FEMALE,google,0,sem-brand,Mac Desktop,US
USER_00306,48.0,FEMALE,basic,0,direct,Windows Desktop,ES
USER_00307,27.0,FEMALE,basic,0,sem-brand,Windows Desktop,other
USER_00308,40.0,MALE,basic,25,sem-brand,iPhone,IT
USER_00309,31.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00310,31.0,MALE,basic,12,direct,Windows Desktop,NDF
USER_00311,46.0,MALE,google,0,direct,Windows Desktop,NDF
USER_00312,43.0,UNKNOWN,basic,0,sem-brand,Android Phone,other
USER_00313,42.0,OTHER,basic,0,sem-brand,Mac Desktop,NDF
USER_00314,48.0,MALE,basic,0,direct,Android Phone,NDF
USER_00315,34.0,FEMALE,basic,3,direct,iPhone,NDF
USER_00316,41.0,UNKNOWN,google,0,sem-brand,Windows Desktop,US
USER_00317,30.0,MALE,basic,0,direct,Mac Desktop,NDF
USER_00318,37.0,FEMALE,facebook,0,other,Windows Desktop,GB
USER_00319,2014.0,MALE,facebook,0,direct,Mac Desktop,NDF
USER_00320,35.0,FEMALE,facebook,0,direct,Android Phone,NDF
USER_00321,40.0,UNKNOWN,basic,25,direct,Mac Desktop,NDF
USER_00322,,UNKNOWN,facebook,0,sem-brand,iPhone,NDF
USER_00323,57.0,FEMALE,basic,0,direct,Windows Desktop,US
USER_00324,22.0,FEMALE,basic,0,direct,Mac Desktop,NDF
USER_00325,20.0,FEMALE,basic,0,direct,iPhone,NDF
USER_00326,46.0,MALE,basic,0,direct,iPhone,NDF
USER_00327,42.0,MALE,google,3,sem-non-brand,Mac Desktop,FR
USER_00328,40.0,UNKNOWN,basic,0,direct,Android Phone,NDF
USER_00329,,MALE,facebook,0,direct,Windows Desktop,US
USER_00330,33.0,MALE,basic,25,direct,Mac Desktop,US
USER_00331,24.0,FEMALE,google,12,sem-non-brand,Windows Desktop,other
USER_00332,34.0,UNKNOWN,basic,0,direct,Mac Desktop,FR
USER_00333,,FEMALE,google,0,other,Mac Desktop,NDF
USER_00334,44.0,FEMALE,facebook,12,other,Windows Desktop,other
USER_00335,32.0,FEMALE,basic,0,other,Windows Desktop,ES
USER_00336,,FEMALE,basic,12,other,Mac Desktop,NDF
USER_00337,30.0,FEMALE,facebook,0,direct,Mac Desktop,FR
USER_00338,,UNKNOWN,basic,0,sem-brand,Windows Desktop,NDF
USER_00339,27.0,FEMALE,basic,0,direct,Android Phone,NDF
USER_00340,24.0,FEMALE,facebook,0,sem-brand,Mac Desktop,other
USER_00341,36.0,OTHER,basic,12,direct,Mac Desktop,NDF
USER_00342,36.0,FEMALE,basic,0,direct,Windows Desktop,IT
USER_00343,28.0,MALE,basic,0,other,Android Phone,US
USER_00344,28.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00345,36.0,UNKNOWN,basic,0,sem-brand,Mac Desktop,DE
USER_00346,18.0,FEMALE,facebook,0,sem-brand,Mac Desktop,ES
USER_00347,18.0,FEMALE,facebook,0,sem-brand,Windows Desktop,US
USER_00348,26.0,MALE,basic,0,direct,Mac Desktop,ES
USER_00349,31.0,FEMALE,basic,0,direct,Mac Desktop,DE
USER_00350,37.0,FEMALE,basic,0,sem-non-brand,Mac Desktop,NDF
USER_00351,50.0,FEMALE,google,0,direct,Windows Desktop,US
USER_00352,43.0,MALE,basic,0,direct,Windows Desktop,GB
USER_00353,32.0,MALE,google,0,direct,Windows Desktop,GB
USER_00354,33.0,UNKNOWN,basic,3,other,Android Phone,NDF
USER_00355,22.0,UNKNOWN,basic,0,direct,Android Phone,NDF
USER_00356,33.0,FEMALE,basic,0,direct,Mac Desktop,NDF
USER_00357,30.0,FEMALE,basic,0,direct,Windows Desktop,US
USER_00358,37.0,FEMALE,basic,0,direct,iPhone,NDF
USER_00359,24.0,UNKNOWN,facebook,0,direct,Mac Desktop,NDF
USER_00360,39.0,FEMALE,google,0,other,Android Phone,other
USER_00361,50.0,OTHER,google,3,direct,Android Phone,NDF
USER_00362,32.0,MALE,basic,0,direct,Mac Desktop,DE
USER_00363,38.0,FEMALE,basic,0,sem-non-brand,iPhone,US
USER_00364,41.0,FEMALE,basic,0,direct,Windows Desktop,GB
USER_00365,29.0,MALE,basic,0,direct,Mac Desktop,other
USER_00366,36.0,FEMALE,basic,0,sem-brand,Mac Desktop,FR
USER_00367,34.0,FEMALE,basic,0,direct,Mac Desktop,FR
USER_00368,35.0,FEMALE,facebook,0,direct,iPhone,NDF
USER_00369,25.0,FEMALE,basic,0,sem-brand,iPhone,ES
USER_00370,34.0,MALE,facebook,0,direct,Mac Desktop,NDF
USER_00371,39.0,FEMALE,google,0,direct,iPhone,NDF
USER_00372,49.0,MALE,basic,0,direct,Mac Desktop,ES
USER_00373,44.0,UNKNOWN,facebook,0,direct,iPhone,NDF
USER_00374,57.0,MALE,basic,0,other,iPhone,NDF
USER_00375,25.0,FEMALE,basic,0,sem-brand,Mac Desktop,NDF
USER_00376,43.0,FEMALE,basic,0,direct,Windows Desktop,NDF
USER_00377,36.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00378,58.0,FEMALE,basic,0,sem-brand,Android Phone,GB
USER_00379,25.0,UNKNOWN,basic,0,sem-brand,Windows Desktop,NDF
USER_00380,24.0,MALE,facebook,0,direct,Mac Desktop,NDF
USER_00381,27.0,MALE,facebook,0,sem-non-brand,Windows Desktop,ES
USER_00382,20.0,FEMALE,basic,0,other,Mac Desktop,NDF
USER_00383,28.0,MALE,basic,0,sem-brand,Windows Desktop,other
USER_00384,25.0,UNKNOWN,basic,3,direct,Windows Desktop,NDF
USER_00385,35.0,MALE,basic,0,sem-brand,iPhone,GB
USER_00386,37.0,FEMALE,basic,25,sem-brand,Windows Desktop,NDF
USER_00387,54.0,MALE,basic,0,direct,Mac Desktop,IT
USER_00388,44.0,MALE,basic,0,direct,Android Phone,NDF
USER_00389,27.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00390,24.0,FEMALE,basic,12,other,iPhone,NDF
USER_00391,,FEMALE,basic,3,direct,Windows Desktop,NDF
USER_00392,19.0,MALE,basic,0,other,iPhone,ES
USER_00393,54.0,OTHER,facebook,0,direct,Windows Desktop,NDF
USER_00394,46.0,FEMALE,facebook,0,direct,Windows Desktop,NDF
USER_00395,28.0,MALE,basic,0,sem-non-brand,Mac Desktop,other
USER_00396,25.0,MALE,basic,0,direct,Mac Desktop,NDF
USER_00397,48.0,MALE,basic,0,direct,iPhone,US
USER_00398,32.0,MALE,basic,0,sem-brand,iPhone,NDF
